Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::as_strided,,,0.372,0.372,0,0,0,0
_compute_slot_mapping_kernel,,,4.37,4.37,120.285,120.285,0,0
aten::slice,,,1.396,2.085,0,0,0,0
aten::as_strided,,,0.689,0.689,0,0,0,0
aten::sub,,,8.443,17.454,0,1.14,0,0
empty_tensor,,,2.204,2.204,0,0,0,0
aten::item,,,1.627,4.11,0,0,0,0
aten::_local_scalar_dense,,,2.483,2.483,0,0,0,0
aclnnSubs,,,2.697,2.697,1.14,1.14,0,0
aten::detach,,,1.456,1.456,0,0,0,0
aten::to,,,0.877,0.877,0,0,0,0
aten::resolve_conj,,,0.279,0.279,0,0,0,0
aten::resolve_neg,,,0.121,0.121,0,0,0,0
aten::slice,,,1.613,2.809,0,0,0,0
aten::as_strided,,,1.196,1.196,0,0,0,0
aten::slice,,,0.832,1.684,0,0,0,0
aten::as_strided,,,0.852,0.852,0,0,0,0
aten::slice,,,0.774,1.387,0,0,0,0
aten::as_strided,,,0.613,0.613,0,0,0,0
aten::slice,,,1.339,1.845,0,0,0,0
aten::as_strided,,,0.506,0.506,0,0,0,0
aten::fill_,,,3.888,10.863,0,0,0,0
aclnnInplaceFillScalar,,,6.975,6.975,0,0,0,0
aten::slice,,,0.672,1.172,0,0,0,0
aten::as_strided,,,0.5,0.5,0,0,0,0
aten::fill_,,,2.266,3.765,0,0,0,0
aclnnInplaceFillScalar,,,1.499,1.499,0,0,0,0
aten::slice,,,0.551,0.829,0,0,0,0
aten::as_strided,,,0.278,0.278,0,0,0,0
aten::slice,,,0.5,0.75,0,0,0,0
aten::as_strided,,,0.25,0.25,0,0,0,0
aten::lt,,,8.935,8.935,0,0,0,0
aten::lift_fresh,,,1.376,1.376,0,0,0,0
aten::slice,,,0.507,0.815,0,0,0,0
aten::as_strided,,,0.308,0.308,0,0,0,0
aten::fill_,,,1.45,5.403,0,0,0,0
aten::copy_,,,3.953,3.953,0,0,0,0
aten::slice,,,0.497,0.657,0,0,0,0
aten::as_strided,,,0.16,0.16,0,0,0,0
aten::slice,,,2.093,2.522,0,0,0,0
aten::as_strided,,,0.429,0.429,0,0,0,0
aten::slice,,,0.633,0.876,0,0,0,0
aten::as_strided,,,0.243,0.243,0,0,0,0
aten::slice,,,0.511,0.913,0,0,0,0
aten::as_strided,,,0.402,0.402,0,0,0,0
aten::slice,,,0.45,1.56,0,0,0,0
aten::as_strided,,,1.11,1.11,0,0,0,0
aten::slice,,,0.639,4.192,0,0,0,0
aten::as_strided,,,3.553,3.553,0,0,0,0
aten::slice,,,0.843,1.16,0,0,0,0
aten::as_strided,,,0.317,0.317,0,0,0,0
aten::slice,,,0.523,0.797,0,0,0,0
aten::as_strided,,,0.274,0.274,0,0,0,0
aten::slice,,,0.561,0.696,0,0,0,0
aten::as_strided,,,0.135,0.135,0,0,0,0
aten::sub,,,5.796,5.796,0,0,0,0
aten::gt,,,7.035,15.889,0,0,0,0
aten::to,,,0.774,8.854,0,0,0,0
aten::_to_copy,,,2.949,8.08,0,0,0,0
aten::empty_strided,,,1.936,1.936,0,0,0,0
aten::copy_,,,3.195,3.195,0,0,0,0
aten::any,,,4.484,8.309,0,0,0,0
aten::view_as,,,1.206,2.21,0,0,0,0
aten::view,,,1.004,1.004,0,0,0,0
aten::to,,,0.1,0.1,0,0,0,0
aten::copy_,,,1.515,1.515,0,0,0,0
aten::is_nonzero,,,2.671,4.927,0,0,0,0
aten::item,,,1.834,2.256,0,0,0,0
aten::_local_scalar_dense,,,0.422,0.422,0,0,0,0
aten::to,,,0.312,2.742,0,0,0,0
aten::_to_copy,,,0.518,2.43,0,0,0,0
aten::empty_strided,,,0.49,0.49,0,0,0,0
aten::copy_,,,1.422,1.422,0,0,0,0
aten::argmax,,,3.478,3.765,0,0,0,0
aten::fill_,,,0.287,0.287,0,0,0,0
aten::item,,,0.173,0.44,0,0,0,0
aten::_local_scalar_dense,,,0.267,0.267,0,0,0,0
aten::select,,,4.353,6.13,0,0,0,0
aten::as_strided,,,1.777,1.777,0,0,0,0
aten::item,,,0.171,0.483,0,0,0,0
aten::_local_scalar_dense,,,0.312,0.312,0,0,0,0
aten::slice,,,0.523,0.761,0,0,0,0
aten::as_strided,,,0.238,0.238,0,0,0,0
aten::slice,,,0.464,1.161,0,0,0,0
aten::as_strided,,,0.697,0.697,0,0,0,0
aten::pin_memory,,,2.778,12.982,0,0,0,0
aten::is_pinned,,,10.204,10.204,0,0,0,0
aten::to,,,2.969,18.385,0,2.6605,0,0
aten::_to_copy,,,1.592,15.416,0,2.6605,0,0
aten::empty_strided,,,3.871,5.942,0,0,0,0
empty_tensor,,,2.071,2.071,0,0,0,0
aten::copy_,,,4.653,7.882,0,2.6605,0,0
acl_memcpy_host_to_device,,,3.229,3.229,2.6605,2.6605,0,0
aten::resolve_conj,,,0.206,0.206,0,0,0,0
aten::resolve_neg,,,0.189,0.189,0,0,0,0
aten::slice,,,0.717,2.631,0,0,0,0
aten::as_strided,,,1.914,1.914,0,0,0,0
aten::resolve_conj,,,0.176,0.176,0,0,0,0
aten::resolve_neg,,,0.192,0.192,0,0,0,0
aten::slice,,,0.648,1.228,0,0,0,0
aten::as_strided,,,0.58,0.58,0,0,0,0
aten::slice,,,0.574,0.966,0,0,0,0
aten::as_strided,,,0.392,0.392,0,0,0,0
aten::index_select,,,8.433,14.169,0,10.6405,0,0
empty_tensor,,,2.963,2.963,0,0,0,0
aclnnIndexSelect,,,2.773,2.773,10.6405,10.6405,0,0
aten::view,,,2.001,2.001,0,0,0,0
aten::repeat,,,5.299,7.498,0,9.4005,0,0
empty_tensor,,,1.386,1.386,0,0,0,0
aclnnRepeat,,,0.813,0.813,9.4005,9.4005,0,0
aten::chunk,,,3.003,11.627,0,0,0,0
aten::split,,,2.091,8.624,0,0,0,0
aten::narrow,,,1.991,5.428,0,0,0,0
aten::slice,,,0.475,3.437,0,0,0,0
aten::as_strided,,,2.962,2.962,0,0,0,0
aten::narrow,,,0.317,1.105,0,0,0,0
aten::slice,,,0.232,0.788,0,0,0,0
aten::as_strided,,,0.556,0.556,0,0,0,0
aten::slice,,,0.61,1.422,0,0,0,0
aten::as_strided,,,0.812,0.812,0,0,0,0
aten::view,,,0.827,0.827,0,0,0,0
aten::expand,,,2.289,2.867,0,0,0,0
aten::as_strided,,,0.578,0.578,0,0,0,0
aten::copy_,,,3.105,7.622,0,3.1205,0,0
aclnnInplaceCopy,,,4.517,4.517,3.1205,3.1205,0,0
