Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.145,11.113,0,450.438,0,450.438
aclnnMm,,,6.968,6.968,450.438,450.438,450.438,450.438
P16/02-serial/mul-05,,,13.237,18.76,0,426.537,0,0
aten::mul,"67108864;
;
67108864",,2.788,5.523,0,426.537,0,0
aten::item,,,0.28,0.543,0,0,0,0
aten::_local_scalar_dense,,,0.263,0.263,0,0,0,0
aclnnMuls,,,2.192,2.192,426.537,426.537,0,0
P16/02-serial/record-A,,,22.822,69.283,0,0.02,0,0
Event::record,,,26.689,46.461,0,0.02,0,0
record_event,,,19.772,19.772,0.02,0.02,0,0
P16/02-serial/wait-A,,,16.061,4703.258,0,0,0,0
Event::synchronize,,,4687.197,4687.197,0,0,0,0
destroy_event,,,2.774,2.774,0,0,0,0
P16/check/02-serial,,,23.685,610.652,0,479.039,0,0
aten::eq,"4096,4096;
",,6.862,11.946,0,54.822,0,0
empty_tensor,,,3.186,3.186,0,0,0,0
aclnnEqScalar,,,1.898,1.898,54.822,54.822,0,0
aten::all,"4096,4096",,5.095,7.305,0,30.142,0,0
empty_tensor,,,1.372,1.372,0,0,0,0
aclnnAll,,,0.838,0.838,30.142,30.142,0,0
aten::item,,,0.699,129.839,0,0,0,0
aten::_local_scalar_dense,,,129.14,129.14,0,0,0,0
aten::eq,"67108864;
",,2.581,5.834,0,336.433,0,0
empty_tensor,,,1.418,1.418,0,0,0,0
aclnnEqScalar,,,1.835,1.835,336.433,336.433,0,0
aten::all,67108864,,2.853,6.35,0,57.642,0,0
empty_tensor,,,1.007,1.007,0,0,0,0
aclnnAll,,,2.49,2.49,57.642,57.642,0,0
aten::item,,,0.602,425.693,0,0,0,0
aten::_local_scalar_dense,,,425.091,425.091,0,0,0,0
P16/03-serial/mm-00,,,27.63,37.658,0,440.478,0,440.478
aten::mm,"4096,4096;
4096,4096;
4096,4096",,7.721,10.028,0,440.478,0,440.478
aclnnMm,,,2.307,2.307,440.478,440.478,440.478,440.478
P16/03-serial/mul-00,,,16.374,24.299,0,399.516,0,0
aten::mul,"67108864;
;
67108864",,4.417,7.925,0,399.516,0,0
aten::item,,,0.445,0.866,0,0,0,0
aten::_local_scalar_dense,,,0.421,0.421,0,0,0,0
aclnnMuls,,,2.642,2.642,399.516,399.516,0,0
P16/03-serial/mm-01,,,19.178,27.853,0,448.918,0,448.918
aten::mm,"4096,4096;
4096,4096;
4096,4096",,5.155,8.675,0,448.918,0,448.918
aclnnMm,,,3.52,3.52,448.918,448.918,448.918,448.918
P16/03-serial/mul-01,,,13.61,19.736,0,426.417,0,0
