Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
Event::synchronize,,,3967.719,3967.719,0,0,0,0
P16Sync/trace-per_round/r1/host_wait-mul,,,12.909,21.543,0,0,0,0
Event::synchronize,,,8.634,8.634,0,0,0,0
P16Sync/trace-per_round/r2/compute-mm-00,,,13.099,28.47,0,1696.948,0,1696.948
aten::mm,"4096,4096;
4096,4096;
4096,4096",,13.085,15.371,0,1696.948,0,1696.948
aclnnMm,,,2.286,2.286,1696.948,1696.948,1696.948,1696.948
P16Sync/trace-per_round/r2/compute-mul-00,,,14.05,22.127,0,576.263,0,0
aten::mul,"67108864;
;
67108864",,4.84,8.077,0,576.263,0,0
aten::item,,,0.602,0.99,0,0,0,0
aten::_local_scalar_dense,,,0.388,0.388,0,0,0,0
aclnnMuls,,,2.247,2.247,576.263,576.263,0,0
P16Sync/trace-per_round/r2/compute-mm-01,,,20.852,33.883,0,1597.023,0,1597.023
aten::mm,"4096,4096;
4096,4096;
4096,4096",,6.124,13.031,0,1597.023,0,1597.023
aclnnMm,,,6.907,6.907,1597.023,1597.023,1597.023,1597.023
P16Sync/trace-per_round/r2/compute-mul-01,,,12.539,18.239,0,566.263,0,0
aten::mul,"67108864;
;
67108864",,2.791,5.7,0,566.263,0,0
aten::item,,,0.35,0.515,0,0,0,0
aten::_local_scalar_dense,,,0.165,0.165,0,0,0,0
aclnnMuls,,,2.394,2.394,566.263,566.263,0,0
P16Sync/trace-per_round/r2/compute-mm-02,,,11.95,20.465,0,499.7,0,499.7
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.131,8.515,0,499.7,0,499.7
aclnnMm,,,4.384,4.384,499.7,499.7,499.7,499.7
P16Sync/trace-per_round/r2/compute-mul-02,,,12.472,17.886,0,561.123,0,0
aten::mul,"67108864;
;
67108864",,2.567,5.414,0,561.123,0,0
aten::item,,,0.258,0.643,0,0,0,0
aten::_local_scalar_dense,,,0.385,0.385,0,0,0,0
aclnnMuls,,,2.204,2.204,561.123,561.123,0,0
P16Sync/trace-per_round/r2/compute-mm-03,,,11.341,17.301,0,428.497,0,428.497
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.692,5.96,0,428.497,0,428.497
aclnnMm,,,2.268,2.268,428.497,428.497,428.497,428.497
P16Sync/trace-per_round/r2/compute-mul-03,,,12.101,18.634,0,551.242,0,0
aten::mul,"67108864;
;
67108864",,2.586,6.533,0,551.242,0,0
aten::item,,,0.309,1.827,0,0,0,0
aten::_local_scalar_dense,,,1.518,1.518,0,0,0,0
aclnnMuls,,,2.12,2.12,551.242,551.242,0,0
P16Sync/trace-per_round/r2/compute-mm-04,,,11.354,18.861,0,428.938,0,428.938
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.812,7.507,0,428.938,0,428.938
aclnnMm,,,2.695,2.695,428.938,428.938,428.938,428.938
P16Sync/trace-per_round/r2/compute-mul-04,,,17.724,25.63,0,562.962,0,0
aten::mul,"67108864;
;
67108864",,3.538,7.906,0,562.962,0,0
aten::item,,,0.32,0.441,0,0,0,0
aten::_local_scalar_dense,,,0.121,0.121,0,0,0,0
aclnnMuls,,,3.927,3.927,562.962,562.962,0,0
P16Sync/trace-per_round/r2/compute-mm-05,,,20.269,28.177,0,429.797,0,429.797
aten::mm,"4096,4096;
4096,4096;
4096,4096",,5.627,7.908,0,429.797,0,429.797
aclnnMm,,,2.281,2.281,429.797,429.797,429.797,429.797
P16Sync/trace-per_round/r2/compute-mul-05,,,12.201,17.627,0,558.862,0,0
aten::mul,"67108864;
;
67108864",,2.665,5.426,0,558.862,0,0
aten::item,,,0.268,0.39,0,0,0,0
aten::_local_scalar_dense,,,0.122,0.122,0,0,0,0
aclnnMuls,,,2.371,2.371,558.862,558.862,0,0
P16Sync/trace-per_round/r2/copy-mm,,,28.223,47.797,0,2.18,0,0
aten::view,"4096,4096;
",,2.797,2.797,0,0,0,0
aten::slice,"16777216;
;
;
;
",,6.718,7.735,0,0,0,0
aten::as_strided,"16777216;
;
;
",,1.017,1.017,0,0,0,0
aten::copy_,"4;
4;
",,6.831,9.042,0,2.18,0,0
acl_memcpy_device_to_host,,,2.211,2.211,2.18,2.18,0,0
P16Sync/trace-per_round/r2/record-mm,,,14.347,25.831,0,0.02,0,0
Event::record,,,8.832,11.484,0,0.02,0,0
record_event,,,2.652,2.652,0.02,0.02,0,0
P16Sync/trace-per_round/r2/copy-mul,,,15.473,28.17,0,2.161,0,0
aten::view,"67108864;
",,1.853,1.853,0,0,0,0
aten::slice,"67108864;
;
;
;
",,3.18,3.962,0,0,0,0
aten::as_strided,"67108864;
;
;
",,0.782,0.782,0,0,0,0
aten::copy_,"4;
4;
",,4.633,6.882,0,2.161,0,0
acl_memcpy_device_to_host,,,2.249,2.249,2.161,2.161,0,0
P16Sync/trace-per_round/r2/record-mul,,,14.665,26.861,0,0.02,0,0
Event::record,,,9.035,12.196,0,0.02,0,0
record_event,,,3.161,3.161,0.02,0.02,0,0
P16Sync/trace-per_round/r2/host_wait-mm,,,14.196,4460.006,0,0,0,0
Event::synchronize,,,4445.81,4445.81,0,0,0,0
P16Sync/trace-per_round/r2/host_wait-mul,,,13.324,21.879,0,0,0,0
Event::synchronize,,,8.555,8.555,0,0,0,0
P16Sync/trace-per_round/r3/compute-mm-00,,,18.974,31.445,0,1652.946,0,1652.946
aten::mm,"4096,4096;
4096,4096;
4096,4096",,8.886,12.471,0,1652.946,0,1652.946
aclnnMm,,,3.585,3.585,1652.946,1652.946,1652.946,1652.946
P16Sync/trace-per_round/r3/compute-mul-00,,,13.015,23.574,0,568.223,0,0
aten::mul,"67108864;
;
67108864",,3.722,10.559,0,568.223,0,0
aten::item,,,0.494,0.773,0,0,0,0
aten::_local_scalar_dense,,,0.279,0.279,0,0,0,0
aclnnMuls,,,6.064,6.064,568.223,568.223,0,0
P16Sync/trace-per_round/r3/compute-mm-01,,,16.494,22.94,0,1605.864,0,1605.864
aten::mm,"4096,4096;
4096,4096;
4096,4096",,4.229,6.446,0,1605.864,0,1605.864
aclnnMm,,,2.217,2.217,1605.864,1605.864,1605.864,1605.864
P16Sync/trace-per_round/r3/compute-mul-01,,,15.034,22.848,0,558.962,0,0
aten::mul,"67108864;
;
67108864",,2.96,7.814,0,558.962,0,0
aten::item,,,1.701,1.903,0,0,0,0
aten::_local_scalar_dense,,,0.202,0.202,0,0,0,0
aclnnMuls,,,2.951,2.951,558.962,558.962,0,0
P16Sync/trace-per_round/r3/compute-mm-02,,,11.528,17.822,0,492.439,0,492.439
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.711,6.294,0,492.439,0,492.439
aclnnMm,,,2.583,2.583,492.439,492.439,492.439,492.439
P16Sync/trace-per_round/r3/compute-mul-02,,,12.092,17.525,0,559.603,0,0
aten::mul,"67108864;
;
67108864",,2.805,5.433,0,559.603,0,0
aten::item,,,0.32,0.496,0,0,0,0
aten::_local_scalar_dense,,,0.176,0.176,0,0,0,0
aclnnMuls,,,2.132,2.132,559.603,559.603,0,0
P16Sync/trace-per_round/r3/compute-mm-03,,,21.245,27.883,0,428.098,0,428.098
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.837,6.638,0,428.098,0,428.098
aclnnMm,,,2.801,2.801,428.098,428.098,428.098,428.098
P16Sync/trace-per_round/r3/compute-mul-03,,,12.14,18.213,0,548.262,0,0
aten::mul,"67108864;
;
67108864",,3.439,6.073,0,548.262,0,0
aten::item,,,0.281,0.401,0,0,0,0
aten::_local_scalar_dense,,,0.12,0.12,0,0,0,0
aclnnMuls,,,2.233,2.233,548.262,548.262,0,0
P16Sync/trace-per_round/r3/compute-mm-04,,,11.305,20.375,0,430.497,0,430.497
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.818,9.07,0,430.497,0,430.497
aclnnMm,,,5.252,5.252,430.497,430.497,430.497,430.497
P16Sync/trace-per_round/r3/compute-mul-04,,,11.605,17.209,0,562.642,0,0
aten::mul,"67108864;
;
67108864",,2.585,5.604,0,562.642,0,0
aten::item,,,0.257,0.538,0,0,0,0
aten::_local_scalar_dense,,,0.281,0.281,0,0,0,0
aclnnMuls,,,2.481,2.481,562.642,562.642,0,0
P16Sync/trace-per_round/r3/compute-mm-05,,,12.286,17.926,0,427.937,0,427.937
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.496,5.64,0,427.937,0,427.937
aclnnMm,,,2.144,2.144,427.937,427.937,427.937,427.937
P16Sync/trace-per_round/r3/compute-mul-05,,,11.553,19.517,0,542.022,0,0
aten::mul,"67108864;
;
67108864",,2.566,7.964,0,542.022,0,0
aten::item,,,2.779,2.982,0,0,0,0
aten::_local_scalar_dense,,,0.203,0.203,0,0,0,0
aclnnMuls,,,2.416,2.416,542.022,542.022,0,0
P16Sync/trace-per_round/r3/copy-mm,,,27.056,41.241,0,2.22,0,0
aten::view,"4096,4096;
",,2.291,2.291,0,0,0,0
aten::slice,"16777216;
;
;
;
",,2.463,3.489,0,0,0,0
aten::as_strided,"16777216;
;
;
",,1.026,1.026,0,0,0,0
aten::copy_,"4;
4;
",,6.193,8.405,0,2.22,0,0
acl_memcpy_device_to_host,,,2.212,2.212,2.22,2.22,0,0
