Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
P16Dep/trace-00-no_wait/backlog-01,,,12.647,18.795,0,1570.303,0,1570.303
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.931,6.148,0,1570.303,0,1570.303
aclnnMm,,,2.217,2.217,1570.303,1570.303,1570.303,1570.303
P16Dep/trace-00-no_wait/backlog-02,,,11.432,17.242,0,1140.986,0,1140.986
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.453,5.81,0,1140.986,0,1140.986
aclnnMm,,,2.357,2.357,1140.986,1140.986,1140.986,1140.986
P16Dep/trace-00-no_wait/backlog-03,,,10.778,16.695,0,428.057,0,428.057
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.654,5.917,0,428.057,0,428.057
aclnnMm,,,2.263,2.263,428.057,428.057,428.057,428.057
P16Dep/trace-00-no_wait/backlog-04,,,11.018,18.934,0,425.937,0,425.937
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.254,7.916,0,425.937,0,425.937
aclnnMm,,,4.662,4.662,425.937,425.937,425.937,425.937
P16Dep/trace-00-no_wait/produce-Y,,,10.74,17.076,0,425.377,0,425.377
aten::mm,"4096,4096;
4096,4096;
4096,4096",,3.908,6.336,0,425.377,0,425.377
aclnnMm,,,2.428,2.428,425.377,425.377,425.377,425.377
P16Dep/trace-00-no_wait/record-A,,,14.775,28.828,0,0.02,0,0
Event::record,,,11.368,14.053,0,0.02,0,0
record_event,,,2.685,2.685,0.02,0.02,0,0
P16Dep/trace-00-no_wait/consume-Y,,,16.96,25.155,0,27.721,0,0
aten::mul,"4096,4096;
;
4096,4096",,4.872,8.195,0,27.721,0,0
aten::item,,,0.703,1.151,0,0,0,0
aten::_local_scalar_dense,,,0.448,0.448,0,0,0,0
aclnnMuls,,,2.172,2.172,27.721,27.721,0,0
P16Dep/trace-00-no_wait/record-B,,,13.52,24.147,0,0.02,0,0
Event::record,,,8.081,10.627,0,0.02,0,0
record_event,,,2.546,2.546,0.02,0.02,0,0
P16Dep/trace-00-no_wait/independent-00,,,13.424,20.184,0,604.324,0,0
aten::mul,"67108864;
;
67108864",,2.947,6.76,0,604.324,0,0
aten::item,,,0.332,0.779,0,0,0,0
aten::_local_scalar_dense,,,0.447,0.447,0,0,0,0
aclnnMuls,,,3.034,3.034,604.324,604.324,0,0
P16Dep/trace-00-no_wait/independent-01,,,12.042,19.14,0,554.462,0,0
