trace_index,kernel,task_type,task_id,stream_id,device_start_us,device_duration_us,phase,host_operator,host_ancestry,host_start_us,host_duration_us,torch_flow_id,cann_flow_id,cann_launch,cann_connection_verified,kernel_csv_verified,route
9076,aclnnInplaceCopy_SliceAiCore_Slice,AI_VECTOR_CORE,1326,46,1790085076509864.070,3.0,step=3,aclnnInplaceCopy,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""aclnnInplaceCopy""]",1790085076509840.565,2.638,1790085076509864070,6863357739008,Node@launch,True,True,aten_to_aclnn
9078,aclnnIndexSelect_GatherV3AiCore_GatherV3,AI_VECTOR_CORE,1327,46,1790085076509867.170,8.2205,step=3,aclnnIndexSelect,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::index_select"", ""aclnnIndexSelect""]",1790085076509850.835,1.026,1790085076509867170,6880537608192,Node@launch,True,True,aten_to_aclnn
9080,aclnnRepeat_TileAiCore_Tile,AI_VECTOR_CORE,1328,46,1790085076509875.411,5.26,step=3,aclnnRepeat,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::repeat"", ""aclnnRepeat""]",1790085076509859.051,0.74,1790085076509875411,6897717477376,Node@launch,True,True,aten_to_aclnn
9082,aclnnInplaceCopy_SliceAiCore_Slice,AI_VECTOR_CORE,1329,46,1790085076509885.631,2.26,step=3,aclnnInplaceCopy,"[""P09/step=3/NPUModelRunner.execute_model"", ""aten::copy_"", ""aclnnInplaceCopy""]",1790085076509873.868,2.874,1790085076509885631,6914897346560,Node@launch,True,True,aten_to_aclnn
9084,aclnnInplaceCopy_CastAiCore_Cast,AI_VECTOR_CORE,1330,46,1790085076510407.852,1.2,step=3,aclnnInplaceCopy,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""aten::to"", ""aten::_to_copy"", ""aten::copy_"", ""aclnnInplaceCopy""]",1790085076510378.946,8.841,1790085076510407852,6932077215744,Node@launch,True,True,aten_to_aclnn
9086,aclnnEmbedding_GatherV2AiCore_GatherV2,AI_VECTOR_CORE,1331,46,1790085076510419.372,11.8005,step=3,aclnnEmbedding,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""aten::embedding"", ""aclnnEmbedding""]",1790085076510408.346,2.37,1790085076510419372,6949257084928,Node@launch,True,True,aten_to_aclnn
9088,RmsNorm,AI_VECTOR_CORE,1332,46,1790085076510554.778,15.1005,step=3,aclnnRmsNorm,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""npu::npu_rms_norm"", ""aclnnRmsNorm""]",1790085076510524.141,2.328,1790085076510554778,6975026888704,Node@launch,True,True,torch_npu
9090,aclnnAddmm_CastAiCore_Cast,AI_VECTOR_CORE,1333,46,1790085076510633.661,1.04,step=3,aclnnAddmm,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unquantized_gemm"", ""aten::linear"", ""aten::addmm"", ""aclnnAddmm""]",1790085076510609.421,2.25,1790085076510633661,6996501725184,Node@launch,True,True,aten_to_aclnn
9092,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,1334,46,1790085076510636.961,8.9005,step=3,aclnnAddmm,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unquantized_gemm"", ""aten::linear"", ""aten::addmm"", ""aclnnAddmm""]",1790085076510609.421,2.25,1790085076510636961,7005091659776,Node@launch,True,True,aten_to_aclnn
9094,aclnnInplaceCopy_SliceAiCore_Slice,AI_VECTOR_CORE,1335,46,1790085076510710.304,2.06,step=3,aclnnInplaceCopy,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::npu_rotary_embedding"", ""aten::contiguous"", ""aten::clone"", ""aten::copy_"", ""aclnnInplaceCopy""]",1790085076510693.008,2.405,1790085076510710304,7022271528960,Node@launch,True,True,aten_to_aclnn
9096,aclnnInplaceCopy_SliceAiCore_Slice,AI_VECTOR_CORE,1336,46,1790085076510713.724,2.5205,step=3,aclnnInplaceCopy,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::npu_rotary_embedding"", ""aten::contiguous"", ""aten::clone"", ""aten::copy_"", ""aclnnInplaceCopy""]",1790085076510702.006,1.14,1790085076510713724,7039451398144,Node@launch,True,True,aten_to_aclnn
9098,_triton_rope,AI_VECTOR_CORE,1337,46,1790085076510921.232,13.4405,step=3,_triton_rope,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::npu_rotary_embedding"", ""_triton_rope""]",1790085076510901.644,5.553,1790085076510921232,7065221201920,Node@launch,True,True,triton
9100,aclnnInplaceCopy_SliceAiCore_Slice,AI_VECTOR_CORE,1338,46,1790085076511368.650,2.54,step=3,aclnnInplaceCopy,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unified_attention_with_output"", ""P09/step=3/AscendAttentionBackendImpl.forward"", ""P09/step=3/AscendAttentionBackendImpl.reshape_and_cache"", ""P09/step=3/BaseDeviceAdaptor.reshape_and_cache"", ""atb::_npu_reshape_and_cache"", ""aten::contiguous"", ""aten::clone"", ""aten::copy_"", ""aclnnInplaceCopy""]",1790085076511350.455,3.356,1790085076511368650,7078106103808,Node@launch,True,True,atb
9102,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,1339,46,1790085076511474.334,10.2605,step=3,ReshapeCacheOperation,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unified_attention_with_output"", ""P09/step=3/AscendAttentionBackendImpl.forward"", ""P09/step=3/AscendAttentionBackendImpl.reshape_and_cache"", ""P09/step=3/BaseDeviceAdaptor.reshape_and_cache"", ""atb::_npu_reshape_and_cache"", ""ReshapeCacheOperation""]",1790085076511377.321,2.903,1790085076511474334,7103875907584,Node@launch,True,True,atb
9104,aclnnContiguous_SliceAiCore_Slice,AI_VECTOR_CORE,1340,46,1790085076511841.309,2.3,step=3,aclnnFusedInferAttentionScoreV3,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unified_attention_with_output"", ""P09/step=3/AscendAttentionBackendImpl.forward"", ""P09/step=3/AscendAttentionBackendImpl.forward_impl"", ""P09/step=3/AscendAttentionBackendImpl.forward_fused_infer_attention"", ""npu::npu_fused_infer_attention_score"", ""aclnnFusedInferAttentionScoreV3""]",1790085076511787.601,3.57,1790085076511841309,7164005449728,Node@launch,True,True,torch_npu
9106,FusedInferAttentionScore,MIX_AIC,1341,46,1790085076511891.451,29.401,step=3,aclnnFusedInferAttentionScoreV3,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unified_attention_with_output"", ""P09/step=3/AscendAttentionBackendImpl.forward"", ""P09/step=3/AscendAttentionBackendImpl.forward_impl"", ""P09/step=3/AscendAttentionBackendImpl.forward_fused_infer_attention"", ""npu::npu_fused_infer_attention_score"", ""aclnnFusedInferAttentionScoreV3""]",1790085076511787.601,3.57,1790085076511891451,7172595384320,Node@launch,True,True,torch_npu
10467,MEMCPY_ASYNC,SDMA_SQE,1342,46,1790085076511921.732,1.02,step=3,aclnnInplaceCopy,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unified_attention_with_output"", ""P09/step=3/AscendAttentionBackendImpl.forward"", ""P09/step=3/AscendAttentionBackendImpl.forward_impl"", ""P09/step=3/AscendAttentionBackendImpl.forward_fused_infer_attention"", ""aten::copy_"", ""aclnnInplaceCopy""]",1790085076511818.763,2.508,1790085076511921732,7185480286208,AscendCL@aclnnInplaceCopy,True,False,runtime_copy
9108,aclnnMatmul_MatMulCommon_MatMulV2,AI_CORE,1343,46,1790085076512117.120,7.28,step=3,aclnnMatmul,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unquantized_gemm"", ""aten::linear"", ""aten::matmul"", ""aclnnMatmul""]",1790085076512093.871,2.169,1790085076512117120,7228429959168,Node@launch,True,True,aten_to_aclnn
9110,AddRmsNormBias,AI_VECTOR_CORE,1344,46,1790085076512201.984,14.8005,step=3,aclnnAddRmsNormBias,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""_C_ascend::npu_add_rms_norm_bias"", ""aclnnAddRmsNormBias""]",1790085076512174.540,3.055,1790085076512201984,7254199762944,Node@launch,True,True,ascend_custom_cpp
9112,aclnnMatmul_MatMulCommon_MatMulV2,AI_CORE,1345,46,1790085076512244.885,23.801,step=3,aclnnMatmul,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unquantized_gemm"", ""aten::linear"", ""aten::matmul"", ""aclnnMatmul""]",1790085076512223.657,2.5,1790085076512244885,7275674599424,Node@launch,True,True,aten_to_aclnn
9114,SwiGlu,AI_VECTOR_CORE,1346,46,1790085076512286.627,16.861,step=3,aclnnSwiGlu,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""npu::npu_swiglu"", ""aclnnSwiGlu""]",1790085076512262.640,9.454,1790085076512286627,7301444403200,Node@launch,True,True,torch_npu
9116,aclnnMatmul_MatMulCommon_MatMulV2,AI_CORE,1347,46,1790085076512319.968,21.921,step=3,aclnnMatmul,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unquantized_gemm"", ""aten::linear"", ""aten::matmul"", ""aclnnMatmul""]",1790085076512303.425,2.42,1790085076512319968,7322919239680,Node@launch,True,True,aten_to_aclnn
9118,AddRmsNormBias,AI_VECTOR_CORE,1348,46,1790085076512375.951,12.42,step=3,aclnnAddRmsNormBias,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""_C_ascend::npu_add_rms_norm_bias"", ""aclnnAddRmsNormBias""]",1790085076512362.019,2.149,1790085076512375951,7348689043456,Node@launch,True,True,ascend_custom_cpp
9120,aclnnAddmm_CastAiCore_Cast,AI_VECTOR_CORE,1349,46,1790085076512422.272,1.2,step=3,aclnnAddmm,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unquantized_gemm"", ""aten::linear"", ""aten::addmm"", ""aclnnAddmm""]",1790085076512406.598,2.589,1790085076512422272,7370163879936,Node@launch,True,True,aten_to_aclnn
9122,aclnnAddmm_MatMulCommon_MatMulV2,AI_CORE,1350,46,1790085076512426.413,8.88,step=3,aclnnAddmm,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unquantized_gemm"", ""aten::linear"", ""aten::addmm"", ""aclnnAddmm""]",1790085076512406.598,2.589,1790085076512426413,7378753814528,Node@launch,True,True,aten_to_aclnn
9124,aclnnInplaceCopy_SliceAiCore_Slice,AI_VECTOR_CORE,1351,46,1790085076512488.055,2.6005,step=3,aclnnInplaceCopy,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::npu_rotary_embedding"", ""aten::contiguous"", ""aten::clone"", ""aten::copy_"", ""aclnnInplaceCopy""]",1790085076512469.916,2.539,1790085076512488055,7395933683712,Node@launch,True,True,aten_to_aclnn
9126,aclnnInplaceCopy_SliceAiCore_Slice,AI_VECTOR_CORE,1352,46,1790085076512491.535,2.54,step=3,aclnnInplaceCopy,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::npu_rotary_embedding"", ""aten::contiguous"", ""aten::clone"", ""aten::copy_"", ""aclnnInplaceCopy""]",1790085076512478.353,0.676,1790085076512491535,7413113552896,Node@launch,True,True,aten_to_aclnn
9128,_triton_rope,AI_VECTOR_CORE,1353,46,1790085076512691.683,12.4005,step=3,_triton_rope,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::npu_rotary_embedding"", ""_triton_rope""]",1790085076512670.640,3.126,1790085076512691683,7438883356672,Node@launch,True,True,triton
9130,aclnnInplaceCopy_SliceAiCore_Slice,AI_VECTOR_CORE,1354,46,1790085076512823.228,2.52,step=3,aclnnInplaceCopy,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unified_attention_with_output"", ""atb::_npu_reshape_and_cache"", ""aten::contiguous"", ""aten::clone"", ""aten::copy_"", ""aclnnInplaceCopy""]",1790085076512795.215,7.476,1790085076512823228,7451768258560,Node@launch,True,True,atb
9132,ReshapeAndCacheNdKernel,AI_VECTOR_CORE,1355,46,1790085076512850.850,10.16,step=3,ReshapeCacheOperation,"[""P09/step=3/NPUModelRunner.execute_model"", ""P09/step=3/NPUModelRunner._model_forward"", ""vllm::unified_attention_with_output"", ""atb::_npu_reshape_and_cache"", ""ReshapeCacheOperation""]",1790085076512816.767,1.738,1790085076512850850,7477538062336,Node@launch,True,True,atb
