Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::as_strided,,,0.512,0.512,0,0,0,0
aten::slice,,,0.579,0.964,0,0,0,0
aten::as_strided,,,0.385,0.385,0,0,0,0
aten::index_select,,,11.233,17.046,0,4.08,0,0
empty_tensor,,,3.101,3.101,0,0,0,0
aclnnIndexSelect,,,2.712,2.712,4.08,4.08,0,0
aten::view,,,2.08,2.08,0,0,0,0
aten::repeat,,,6.833,9.843,0,1.9,0,0
empty_tensor,,,1.362,1.362,0,0,0,0
aclnnRepeat,,,1.648,1.648,1.9,1.9,0,0
aten::chunk,,,2.92,10.562,0,0,0,0
aten::split,,,2.089,7.642,0,0,0,0
aten::narrow,,,2.186,4.338,0,0,0,0
aten::slice,,,0.411,2.152,0,0,0,0
aten::as_strided,,,1.741,1.741,0,0,0,0
aten::narrow,,,0.374,1.215,0,0,0,0
aten::slice,,,0.264,0.841,0,0,0,0
aten::as_strided,,,0.577,0.577,0,0,0,0
aten::slice,,,0.717,1.453,0,0,0,0
aten::as_strided,,,0.736,0.736,0,0,0,0
aten::view,,,0.855,0.855,0,0,0,0
aten::expand,,,2.317,3.722,0,0,0,0
aten::as_strided,,,1.405,1.405,0,0,0,0
aten::copy_,,,3.604,6.138,0,2.621,0,0
aclnnInplaceCopy,,,2.534,2.534,2.621,2.621,0,0
aten::index_select,,,4.111,7.15,0,3.86,0,0
empty_tensor,,,1.213,1.213,0,0,0,0
aclnnIndexSelect,,,1.826,1.826,3.86,3.86,0,0
aten::view,,,0.699,0.699,0,0,0,0
aten::repeat,,,1.97,11.071,0,1.36,0,0
empty_tensor,,,0.931,0.931,0,0,0,0
aclnnRepeat,,,8.17,8.17,1.36,1.36,0,0
aten::chunk,,,0.527,4.153,0,0,0,0
aten::split,,,0.455,3.626,0,0,0,0
aten::narrow,,,0.632,1.871,0,0,0,0
aten::slice,,,0.548,1.239,0,0,0,0
aten::as_strided,,,0.691,0.691,0,0,0,0
aten::narrow,,,0.329,1.3,0,0,0,0
aten::slice,,,0.343,0.971,0,0,0,0
aten::as_strided,,,0.628,0.628,0,0,0,0
aten::slice,,,0.838,1.266,0,0,0,0
aten::as_strided,,,0.428,0.428,0,0,0,0
aten::view,,,0.39,0.39,0,0,0,0
aten::expand,,,0.385,1.028,0,0,0,0
aten::as_strided,,,0.643,0.643,0,0,0,0
aten::copy_,,,2.247,3.774,0,2.34,0,0
aclnnInplaceCopy,,,1.527,1.527,2.34,2.34,0,0
aten::slice,,,0.548,0.928,0,0,0,0
aten::as_strided,,,0.38,0.38,0,0,0,0
aten::slice,,,0.58,0.948,0,0,0,0
aten::as_strided,,,0.368,0.368,0,0,0,0
P13/672358/00045/forward,,,9606.248,76639.308,0,2401.552,0,1193.767
aten::to,,,0.722,29.274,0,0.84,0,0
aten::_to_copy,,,2.42,28.552,0,0.84,0,0
aten::empty,,,1.185,15.469,0,0,0,0
empty_tensor,,,14.284,14.284,0,0,0,0
aten::copy_,,,6.497,10.663,0,0.84,0,0
aclnnInplaceCopy,,,4.166,4.166,0.84,0.84,0,0
aten::embedding,,,5.793,9.583,0,3.7,0,0
empty_tensor,,,1.944,1.944,0,0,0,0
aclnnEmbedding,,,1.846,1.846,3.7,3.7,0,0
vllm::maybe_pad_and_reduce,,,16.17,16.17,0,0,0,0
npu::npu_rms_norm,,,48.979,55.231,0,6.24,0,0
empty_tensor,,,2.379,2.379,0,0,0,0
empty_tensor,,,1.41,1.41,0,0,0,0
aclnnRmsNorm,,,2.463,2.463,6.24,6.24,0,0
vllm::unquantized_gemm,,,94.709,239.873,0,8.501,0,7.441
P13/672358/00046/linear,,,114.229,145.164,0,8.501,0,7.441
aten::linear,,,4.882,30.935,0,8.501,0,7.441
aten::t,,,3.469,8.683,0,0,0,0
aten::transpose,,,2.999,5.214,0,0,0,0
aten::as_strided,,,2.215,2.215,0,0,0,0
aten::addmm,,,11.819,17.37,0,8.501,0,7.441
empty_tensor,,,2.579,2.579,0,0,0,0
aclnnAddmm,,,2.972,2.972,8.501,8.501,7.441,7.441
aten::split_with_sizes,,,4.3,6.402,0,0,0,0
aten::as_strided,,,1.402,1.402,0,0,0,0
aten::as_strided,,,0.297,0.297,0,0,0,0
aten::as_strided,,,0.403,0.403,0,0,0,0
vllm::npu_rotary_embedding,,,182.424,882.068,0,8.899999999999999,0,0
aten::view,,,1.713,1.713,0,0,0,0
aten::view,,,0.58,0.58,0,0,0,0
aten::contiguous,,,3.125,16.408,0,2.36,0,0
aten::clone,,,2.025,13.283,0,2.36,0,0
empty_tensor,,,2.853,2.853,0,0,0,0
aten::copy_,,,5.639,8.405,0,2.36,0,0
aclnnInplaceCopy,,,2.766,2.766,2.36,2.36,0,0
aten::contiguous,,,0.326,6.169,0,1.98,0,0
aten::clone,,,0.597,5.843,0,1.98,0,0
empty_tensor,,,1.888,1.888,0,0,0,0
aten::copy_,,,2.367,3.358,0,1.98,0,0
aclnnInplaceCopy,,,0.991,0.991,1.98,1.98,0,0
P13/672358/00047/jit_run,,,505.866,671.038,0,4.56,0,0
P13/672358/00048/launch,,,154.419,165.172,0,4.56,0,0
_triton_rope,,,10.753,10.753,4.56,4.56,0,0
aten::view,,,3.154,3.154,0,0,0,0
aten::view,,,0.582,0.582,0,0,0,0
aten::empty,,,1.345,6.922,0,0,0,0
empty_tensor,,,5.577,5.577,0,0,0,0
aten::view,,,0.964,0.964,0,0,0,0
aten::view,,,0.746,0.746,0,0,0,0
aten::view,,,0.641,0.641,0,0,0,0
aten::view,,,0.77,0.77,0,0,0,0
vllm::unified_attention_with_output,,,158.936,1287.278,0,30.761,0,0
P13/672358/00049/attention,,,289.985,1128.342,0,30.761,0,0
aten::slice,,,1.774,3.299,0,0,0,0
aten::as_strided,,,1.525,1.525,0,0,0,0
aten::slice,,,0.441,2.974,0,0,0,0
aten::as_strided,,,2.533,2.533,0,0,0,0
aten::slice,,,2.844,3.822,0,0,0,0
aten::as_strided,,,0.978,0.978,0,0,0,0
P13/672358/00050/cache_write,,,149.326,292.597,0,5.4399999999999995,0,0
P13/672358/00051/torch_api,,,83.502,143.271,0,5.4399999999999995,0,0
atb::_npu_reshape_and_cache,,,37.912,59.769,0,5.4399999999999995,0,0
aten::contiguous,,,1.016,18.792,0,2.14,0,0
aten::clone,,,2.035,17.776,0,2.14,0,0
empty_tensor,,,4.208,4.208,0,0,0,0
aten::copy_,,,7.482,11.533,0,2.14,0,0
aclnnInplaceCopy,,,4.051,4.051,2.14,2.14,0,0
ReshapeCacheOperation,,,3.065,3.065,3.3,3.3,0,0
P13/672358/00052/fia,,,242.476,521.325,0,25.321,0,0
aten::slice,,,1.295,2.724,0,0,0,0
aten::as_strided,,,1.429,1.429,0,0,0,0
aten::slice,,,0.587,1.144,0,0,0,0
aten::as_strided,,,0.557,0.557,0,0,0,0
aten::slice,,,0.466,0.98,0,0,0,0
aten::as_strided,,,0.514,0.514,0,0,0,0
P13/672358/00053/torch_api,,,120.267,247.415,0,24.701,0,0
npu::npu_fused_infer_attention_score,,,115.454,127.148,0,24.701,0,0
empty_tensor,,,4.423,4.423,0,0,0,0
empty_tensor,,,1.285,1.285,0,0,0,0
empty_tensor,,,0.96,0.96,0,0,0,0
empty_tensor,,,0.997,0.997,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,4.029,4.029,24.701,24.701,0,0
aten::view,,,2.302,2.302,0,0,0,0
aten::slice,,,0.966,2.178,0,0,0,0
aten::as_strided,,,1.212,1.212,0,0,0,0
aten::copy_,,,19.227,22.106,0,0.62,0,0
aclnnInplaceCopy,,,2.879,2.879,0.62,0.62,0,0
aten::slice,,,0.644,1.638,0,0,0,0
aten::as_strided,,,0.994,0.994,0,0,0,0
aten::copy_,,,10.319,12.702,0,0,0,0
aclnnInplaceCopy,,,2.383,2.383,0,0,0,0
aten::view,,,1.402,1.402,0,0,0,0
vllm::unquantized_gemm,,,74.315,183.819,0,5.82,0,5.82
P13/672358/00054/linear,,,83.261,109.504,0,5.82,0,5.82
aten::linear,,,2.743,26.243,0,5.82,0,5.82
aten::t,,,2.93,5.957,0,0,0,0
aten::transpose,,,1.464,3.027,0,0,0,0
aten::as_strided,,,1.563,1.563,0,0,0,0
aten::matmul,,,10.823,17.543,0,5.82,0,5.82
empty_tensor,,,4.038,4.038,0,0,0,0
aclnnMatmul,,,2.682,2.682,5.82,5.82,5.82,5.82
vllm::maybe_chunk_residual,,,7.167,7.167,0,0,0,0
_C_ascend::npu_add_rms_norm_bias,,,29.004,44.504,0,3.82,0,0
aten::empty,,,1.253,4.107,0,0,0,0
empty_tensor,,,2.854,2.854,0,0,0,0
aten::empty,,,0.253,1.695,0,0,0,0
empty_tensor,,,1.442,1.442,0,0,0,0
aten::empty,,,0.311,1.12,0,0,0,0
empty_tensor,,,0.809,0.809,0,0,0,0
aten::empty,,,0.651,3.17,0,0,0,0
empty_tensor,,,2.519,2.519,0,0,0,0
aclnnAddRmsNormBias,,,5.408,5.408,3.82,3.82,0,0
vllm::unquantized_gemm,,,71.106,168.675,0,19.281,0,19.281
P13/672358/00055/linear,,,81.093,97.569,0,19.281,0,19.281
aten::linear,,,1.433,16.476,0,19.281,0,19.281
aten::t,,,1.487,4.066,0,0,0,0
aten::transpose,,,0.993,2.579,0,0,0,0
aten::as_strided,,,1.586,1.586,0,0,0,0
aten::matmul,,,5.766,10.977,0,19.281,0,19.281
empty_tensor,,,2.125,2.125,0,0,0,0
aclnnMatmul,,,3.086,3.086,19.281,19.281,19.281,19.281
npu::npu_swiglu,,,20.714,25.159,0,6.04,0,0
empty_tensor,,,2.095,2.095,0,0,0,0
aclnnSwiGlu,,,2.35,2.35,6.04,6.04,0,0
vllm::unquantized_gemm,,,77.807,183.674,0,16.74,0,16.74
P13/672358/00056/linear,,,88.772,105.867,0,16.74,0,16.74
aten::linear,,,1.164,17.095,0,16.74,0,16.74
aten::t,,,1.158,3.378,0,0,0,0
aten::transpose,,,0.825,2.22,0,0,0,0
aten::as_strided,,,1.395,1.395,0,0,0,0
aten::matmul,,,5.045,12.553,0,16.74,0,16.74
empty_tensor,,,2.169,2.169,0,0,0,0
aclnnMatmul,,,5.339,5.339,16.74,16.74,16.74,16.74
vllm::maybe_chunk_residual,,,6.02,6.02,0,0,0,0
_C_ascend::npu_add_rms_norm_bias,,,13.438,25.112,0,3.12,0,0
aten::empty,,,0.768,3.197,0,0,0,0
empty_tensor,,,2.429,2.429,0,0,0,0
aten::empty,,,0.245,1.582,0,0,0,0
empty_tensor,,,1.337,1.337,0,0,0,0
aten::empty,,,0.423,1.483,0,0,0,0
empty_tensor,,,1.06,1.06,0,0,0,0
aten::empty,,,0.408,2.58,0,0,0,0
empty_tensor,,,2.172,2.172,0,0,0,0
aclnnAddRmsNormBias,,,2.832,2.832,3.12,3.12,0,0
vllm::unquantized_gemm,,,76.203,186.065,0,9.361,0,8.281
P13/672358/00057/linear,,,91.217,109.862,0,9.361,0,8.281
aten::linear,,,1.389,18.645,0,9.361,0,8.281
aten::t,,,1.134,3.466,0,0,0,0
aten::transpose,,,0.825,2.332,0,0,0,0
aten::as_strided,,,1.507,1.507,0,0,0,0
aten::addmm,,,8.935,13.79,0,9.361,0,8.281
empty_tensor,,,2.242,2.242,0,0,0,0
aclnnAddmm,,,2.613,2.613,9.361,9.361,8.281,8.281
aten::split_with_sizes,,,1.887,3.707,0,0,0,0
aten::as_strided,,,1.272,1.272,0,0,0,0
aten::as_strided,,,0.29,0.29,0,0,0,0
aten::as_strided,,,0.258,0.258,0,0,0,0
vllm::npu_rotary_embedding,,,177.177,865.62,0,7.98,0,0
aten::view,,,1.765,1.765,0,0,0,0
aten::view,,,0.635,0.635,0,0,0,0
aten::contiguous,,,1.051,12.079,0,2.06,0,0
aten::clone,,,1.634,11.028,0,2.06,0,0
empty_tensor,,,2.16,2.16,0,0,0,0
aten::copy_,,,4.754,7.234,0,2.06,0,0
aclnnInplaceCopy,,,2.48,2.48,2.06,2.06,0,0
aten::contiguous,,,0.366,4.863,0,1.98,0,0
aten::clone,,,0.465,4.497,0,1.98,0,0
empty_tensor,,,1.287,1.287,0,0,0,0
aten::copy_,,,1.922,2.745,0,1.98,0,0
aclnnInplaceCopy,,,0.823,0.823,1.98,1.98,0,0
P13/672358/00058/jit_run,,,495.5,663.394,0,3.94,0,0
P13/672358/00059/launch,,,157.281,167.894,0,3.94,0,0
_triton_rope,,,10.613,10.613,3.94,3.94,0,0
aten::view,,,3.76,3.76,0,0,0,0
aten::view,,,1.947,1.947,0,0,0,0
aten::empty,,,1.186,6.812,0,0,0,0
empty_tensor,,,5.626,5.626,0,0,0,0
aten::view,,,0.919,0.919,0,0,0,0
aten::view,,,0.59,0.59,0,0,0,0
aten::view,,,0.611,0.611,0,0,0,0
aten::view,,,1.02,1.02,0,0,0,0
vllm::unified_attention_with_output,,,101.283,1163.688,0,27.64,0,0
P13/672358/00060/attention,,,294.258,1062.405,0,27.64,0,0
aten::slice,,,1.831,3.454,0,0,0,0
aten::as_strided,,,1.623,1.623,0,0,0,0
aten::slice,,,1.245,2.021,0,0,0,0
aten::as_strided,,,0.776,0.776,0,0,0,0
aten::slice,,,2.915,3.68,0,0,0,0
aten::as_strided,,,0.765,0.765,0,0,0,0
P13/672358/00061/cache_write,,,147.543,277.413,0,5.380000000000001,0,0
P13/672358/00062/torch_api,,,86.355,129.87,0,5.380000000000001,0,0
