Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::slice,,,0.868,1.185,0,0,0,0
aten::as_strided,,,0.317,0.317,0,0,0,0
aten::lt,,,12.526,12.526,0,0,0,0
aten::lift_fresh,,,0.435,0.435,0,0,0,0
aten::slice,,,2.355,2.89,0,0,0,0
aten::as_strided,,,0.535,0.535,0,0,0,0
aten::fill_,,,1.852,7.694,0,0,0,0
aten::copy_,,,5.842,5.842,0,0,0,0
aten::slice,,,0.706,0.874,0,0,0,0
aten::as_strided,,,0.168,0.168,0,0,0,0
aten::slice,,,0.584,1.018,0,0,0,0
aten::as_strided,,,0.434,0.434,0,0,0,0
aten::slice,,,1.357,1.741,0,0,0,0
aten::as_strided,,,0.384,0.384,0,0,0,0
aten::slice,,,0.554,1.141,0,0,0,0
aten::as_strided,,,0.587,0.587,0,0,0,0
aten::slice,,,0.462,0.785,0,0,0,0
aten::as_strided,,,0.323,0.323,0,0,0,0
aten::slice,,,0.687,2.398,0,0,0,0
aten::as_strided,,,1.711,1.711,0,0,0,0
aten::slice,,,0.878,1.558,0,0,0,0
aten::as_strided,,,0.68,0.68,0,0,0,0
aten::slice,,,0.488,0.822,0,0,0,0
aten::as_strided,,,0.334,0.334,0,0,0,0
aten::slice,,,0.485,0.902,0,0,0,0
aten::as_strided,,,0.417,0.417,0,0,0,0
aten::sub,,,5.233,5.233,0,0,0,0
aten::gt,,,6.31,17.139,0,0,0,0
aten::to,,,0.762,10.829,0,0,0,0
aten::_to_copy,,,3.885,10.067,0,0,0,0
aten::empty_strided,,,2.676,2.676,0,0,0,0
aten::copy_,,,3.506,3.506,0,0,0,0
aten::any,,,4.597,9.611,0,0,0,0
aten::view_as,,,1.292,2.858,0,0,0,0
aten::view,,,1.566,1.566,0,0,0,0
aten::to,,,0.437,0.437,0,0,0,0
aten::copy_,,,1.719,1.719,0,0,0,0
aten::is_nonzero,,,3.075,5.547,0,0,0,0
aten::item,,,0.739,2.472,0,0,0,0
aten::_local_scalar_dense,,,1.733,1.733,0,0,0,0
aten::to,,,0.551,3.77,0,0,0,0
aten::_to_copy,,,1.004,3.219,0,0,0,0
aten::empty_strided,,,0.47,0.47,0,0,0,0
aten::copy_,,,1.745,1.745,0,0,0,0
aten::argmax,,,3.529,3.913,0,0,0,0
aten::fill_,,,0.384,0.384,0,0,0,0
aten::item,,,0.24,0.605,0,0,0,0
aten::_local_scalar_dense,,,0.365,0.365,0,0,0,0
aten::select,,,4.935,5.29,0,0,0,0
aten::as_strided,,,0.355,0.355,0,0,0,0
aten::item,,,0.374,0.675,0,0,0,0
aten::_local_scalar_dense,,,0.301,0.301,0,0,0,0
aten::slice,,,0.605,1.341,0,0,0,0
aten::as_strided,,,0.736,0.736,0,0,0,0
aten::slice,,,0.665,1.203,0,0,0,0
aten::as_strided,,,0.538,0.538,0,0,0,0
aten::pin_memory,,,3.348,16.391,0,0,0,0
aten::is_pinned,,,13.043,13.043,0,0,0,0
aten::to,,,0.732,21.27,0,2.66,0,0
aten::_to_copy,,,4.161,20.538,0,2.66,0,0
aten::empty_strided,,,5.146,8.115,0,0,0,0
empty_tensor,,,2.969,2.969,0,0,0,0
aten::copy_,,,5.497,8.262,0,2.66,0,0
acl_memcpy_host_to_device,,,2.765,2.765,2.66,2.66,0,0
aten::resolve_conj,,,0.313,0.313,0,0,0,0
aten::resolve_neg,,,0.224,0.224,0,0,0,0
aten::slice,,,1.203,1.422,0,0,0,0
aten::as_strided,,,0.219,0.219,0,0,0,0
aten::resolve_conj,,,3.386,3.386,0,0,0,0
aten::resolve_neg,,,0.171,0.171,0,0,0,0
aten::slice,,,0.789,1.263,0,0,0,0
aten::as_strided,,,0.474,0.474,0,0,0,0
aten::slice,,,2.254,2.658,0,0,0,0
aten::as_strided,,,0.404,0.404,0,0,0,0
aten::index_select,,,11.216,24.32,0,10.1805,0,0
empty_tensor,,,3.316,3.316,0,0,0,0
aclnnIndexSelect,,,9.788,9.788,10.1805,10.1805,0,0
aten::view,,,2.9,2.9,0,0,0,0
aten::repeat,,,5.482,7.75,0,9.3005,0,0
empty_tensor,,,1.533,1.533,0,0,0,0
aclnnRepeat,,,0.735,0.735,9.3005,9.3005,0,0
aten::chunk,,,3.652,13.347,0,0,0,0
aten::split,,,2.263,9.695,0,0,0,0
aten::narrow,,,2.434,4.644,0,0,0,0
aten::slice,,,0.521,2.21,0,0,0,0
aten::as_strided,,,1.689,1.689,0,0,0,0
aten::narrow,,,1.717,2.788,0,0,0,0
aten::slice,,,0.492,1.071,0,0,0,0
aten::as_strided,,,0.579,0.579,0,0,0,0
aten::slice,,,0.986,1.889,0,0,0,0
aten::as_strided,,,0.903,0.903,0,0,0,0
aten::view,,,0.744,0.744,0,0,0,0
aten::expand,,,2.433,3.097,0,0,0,0
aten::as_strided,,,0.664,0.664,0,0,0,0
aten::copy_,,,3.403,5.684,0,3.6,0,0
aclnnInplaceCopy,,,2.281,2.281,3.6,3.6,0,0
aten::index_select,,,3.918,7.113,0,9.6405,0,0
empty_tensor,,,2.304,2.304,0,0,0,0
aclnnIndexSelect,,,0.891,0.891,9.6405,9.6405,0,0
aten::view,,,0.656,0.656,0,0,0,0
aten::repeat,,,2.134,5.747,0,4.62,0,0
empty_tensor,,,0.891,0.891,0,0,0,0
aclnnRepeat,,,2.722,2.722,4.62,4.62,0,0
aten::chunk,,,0.511,4.004,0,0,0,0
aten::split,,,0.527,3.493,0,0,0,0
aten::narrow,,,0.471,1.73,0,0,0,0
aten::slice,,,0.524,1.259,0,0,0,0
aten::as_strided,,,0.735,0.735,0,0,0,0
aten::narrow,,,0.463,1.236,0,0,0,0
aten::slice,,,0.39,0.773,0,0,0,0
aten::as_strided,,,0.383,0.383,0,0,0,0
aten::slice,,,1.059,1.477,0,0,0,0
aten::as_strided,,,0.418,0.418,0,0,0,0
aten::view,,,0.441,0.441,0,0,0,0
aten::expand,,,0.485,0.87,0,0,0,0
aten::as_strided,,,0.385,0.385,0,0,0,0
aten::copy_,,,2.351,3.948,0,2.44,0,0
aclnnInplaceCopy,,,1.597,1.597,2.44,2.44,0,0
aten::slice,,,0.655,0.98,0,0,0,0
aten::as_strided,,,0.325,0.325,0,0,0,0
aten::slice,,,0.6,1.065,0,0,0,0
aten::as_strided,,,0.465,0.465,0,0,0,0
P12/A/0014/forward,,,10053.339,54960.333,0,4164.1435,0,1504.3195
aten::to,,,2.24,33.934,0,1.18,0,0
aten::_to_copy,,,4.317,31.694,0,1.18,0,0
aten::empty,,,2.821,10.843,0,0,0,0
empty_tensor,,,8.022,8.022,0,0,0,0
aten::copy_,,,12.035,16.534,0,1.18,0,0
aclnnInplaceCopy,,,4.499,4.499,1.18,1.18,0,0
aten::embedding,,,7.283,15.712,0,9.2405,0,0
empty_tensor,,,3.375,3.375,0,0,0,0
aclnnEmbedding,,,5.054,5.054,9.2405,9.2405,0,0
vllm::maybe_pad_and_reduce,,,19.886,19.886,0,0,0,0
npu::npu_rms_norm,,,54.767,62.929,0,16.5805,0,0
empty_tensor,,,2.36,2.36,0,0,0,0
empty_tensor,,,1.298,1.298,0,0,0,0
aclnnRmsNorm,,,4.504,4.504,16.5805,16.5805,0,0
vllm::unquantized_gemm,,,15.496,51.476,0,10.3405,0,9.2005
aten::linear,,,4.765,35.98,0,10.3405,0,9.2005
aten::t,,,5.299,10.074,0,0,0,0
aten::transpose,,,2.577,4.775,0,0,0,0
aten::as_strided,,,2.198,2.198,0,0,0,0
aten::addmm,,,14.355,21.141,0,10.3405,0,9.2005
empty_tensor,,,2.987,2.987,0,0,0,0
aclnnAddmm,,,3.799,3.799,10.3405,10.3405,9.2005,9.2005
aten::split_with_sizes,,,4.702,6.86,0,0,0,0
aten::as_strided,,,1.166,1.166,0,0,0,0
aten::as_strided,,,0.473,0.473,0,0,0,0
aten::as_strided,,,0.519,0.519,0,0,0,0
vllm::npu_rotary_embedding,,,390.211,425.283,0,19.180500000000002,0,0
aten::view,,,1.871,1.871,0,0,0,0
aten::view,,,0.923,0.923,0,0,0,0
aten::contiguous,,,3.769,16.033,0,2.22,0,0
aten::clone,,,2.414,12.264,0,2.22,0,0
empty_tensor,,,2.439,2.439,0,0,0,0
aten::copy_,,,4.334,7.411,0,2.22,0,0
aclnnInplaceCopy,,,3.077,3.077,2.22,2.22,0,0
aten::contiguous,,,0.608,9.073,0,2.6,0,0
aten::clone,,,0.832,8.465,0,2.6,0,0
empty_tensor,,,2.327,2.327,0,0,0,0
aten::copy_,,,3.126,5.306,0,2.6,0,0
aclnnInplaceCopy,,,2.18,2.18,2.6,2.6,0,0
_triton_rope,,,4.717,4.717,14.3605,14.3605,0,0
aten::view,,,1.461,1.461,0,0,0,0
aten::view,,,0.994,0.994,0,0,0,0
aten::empty,,,1.145,3.78,0,0,0,0
empty_tensor,,,2.635,2.635,0,0,0,0
aten::view,,,1.075,1.075,0,0,0,0
aten::view,,,0.957,0.957,0,0,0,0
aten::view,,,0.877,0.877,0,0,0,0
aten::view,,,0.996,0.996,0,0,0,0
vllm::unified_attention_with_output,,,369.751,1736.244,0,49.162000000000006,0,0
P12/A/0015/attention,,,560.312,1366.493,0,49.162000000000006,0,0
aten::slice,,,2.507,4.959,0,0,0,0
aten::as_strided,,,2.452,2.452,0,0,0,0
aten::slice,,,0.829,1.788,0,0,0,0
aten::as_strided,,,0.959,0.959,0,0,0,0
aten::slice,,,3.813,5.022,0,0,0,0
aten::as_strided,,,1.209,1.209,0,0,0,0
P12/A/0016/cache_write,,,173.759,248.628,0,11.5805,0,0
atb::_npu_reshape_and_cache,,,39.703,74.869,0,11.5805,0,0
aten::contiguous,,,1.441,32.381,0,3.08,0,0
aten::clone,,,2.795,30.94,0,3.08,0,0
empty_tensor,,,13.783,13.783,0,0,0,0
aten::copy_,,,9.665,14.362,0,3.08,0,0
aclnnInplaceCopy,,,4.697,4.697,3.08,3.08,0,0
ReshapeCacheOperation,,,2.785,2.785,8.5005,8.5005,0,0
P12/A/0017/fia,,,331.844,527.73,0,37.581500000000005,0,0
aten::slice,,,2.238,4.511,0,0,0,0
aten::as_strided,,,2.273,2.273,0,0,0,0
aten::slice,,,0.605,1.328,0,0,0,0
aten::as_strided,,,0.723,0.723,0,0,0,0
aten::slice,,,0.55,1.39,0,0,0,0
aten::as_strided,,,0.84,0.84,0,0,0,0
npu::npu_fused_infer_attention_score,,,144.025,168.532,0,36.581500000000005,0,0
empty_tensor,,,5.769,5.769,0,0,0,0
empty_tensor,,,2.09,2.09,0,0,0,0
empty_tensor,,,1.458,1.458,0,0,0,0
empty_tensor,,,1.302,1.302,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,13.888,13.888,36.581500000000005,36.581500000000005,0,0
aten::view,,,1.316,1.316,0,0,0,0
aten::slice,,,0.631,1.352,0,0,0,0
aten::as_strided,,,0.721,0.721,0,0,0,0
aten::copy_,,,15.952,17.457,0,1.0,0,0
aclnnInplaceCopy,,,1.505,1.505,1.0,1.0,0,0
aten::slice,,,0.773,1.781,0,0,0,0
aten::as_strided,,,1.008,1.008,0,0,0,0
aten::copy_,,,13.348,16.273,0,0,0,0
aclnnInplaceCopy,,,2.925,2.925,0,0,0,0
aten::view,,,1.756,1.756,0,0,0,0
vllm::unquantized_gemm,,,16.304,46.2,0,7.8405,0,7.8405
aten::linear,,,3.106,29.896,0,7.8405,0,7.8405
aten::t,,,4.077,7.285,0,0,0,0
aten::transpose,,,1.881,3.208,0,0,0,0
aten::as_strided,,,1.327,1.327,0,0,0,0
aten::matmul,,,12.551,19.505,0,7.8405,0,7.8405
empty_tensor,,,4.256,4.256,0,0,0,0
aclnnMatmul,,,2.698,2.698,7.8405,7.8405,7.8405,7.8405
vllm::maybe_chunk_residual,,,9.757,9.757,0,0,0,0
_C_ascend::npu_add_rms_norm_bias,,,32.086,48.731,0,19.7005,0,0
aten::empty,,,1.242,4.075,0,0,0,0
empty_tensor,,,2.833,2.833,0,0,0,0
aten::empty,,,0.399,2.813,0,0,0,0
empty_tensor,,,2.414,2.414,0,0,0,0
aten::empty,,,0.56,2.238,0,0,0,0
empty_tensor,,,1.678,1.678,0,0,0,0
aten::empty,,,0.508,4.167,0,0,0,0
empty_tensor,,,3.659,3.659,0,0,0,0
aclnnAddRmsNormBias,,,3.352,3.352,19.7005,19.7005,0,0
vllm::unquantized_gemm,,,5.973,20.864,0,24.061,0,24.061
aten::linear,,,1.263,14.891,0,24.061,0,24.061
aten::t,,,1.709,3.99,0,0,0,0
aten::transpose,,,1.011,2.281,0,0,0,0
aten::as_strided,,,1.27,1.27,0,0,0,0
aten::matmul,,,4.953,9.638,0,24.061,0,24.061
empty_tensor,,,1.959,1.959,0,0,0,0
aclnnMatmul,,,2.726,2.726,24.061,24.061,24.061,24.061
npu::npu_swiglu,,,19.887,25.318,0,19.081,0,0
empty_tensor,,,2.77,2.77,0,0,0,0
aclnnSwiGlu,,,2.661,2.661,19.081,19.081,0,0
vllm::unquantized_gemm,,,4.824,21.061,0,22.161,0,22.161
aten::linear,,,0.927,16.237,0,22.161,0,22.161
aten::t,,,1.528,2.993,0,0,0,0
aten::transpose,,,0.68,1.465,0,0,0,0
aten::as_strided,,,0.785,0.785,0,0,0,0
aten::matmul,,,3.541,12.317,0,22.161,0,22.161
empty_tensor,,,1.962,1.962,0,0,0,0
aclnnMatmul,,,6.814,6.814,22.161,22.161,22.161,22.161
vllm::maybe_chunk_residual,,,6.137,6.137,0,0,0,0
_C_ascend::npu_add_rms_norm_bias,,,9.446,19.2,0,13.5205,0,0
aten::empty,,,0.531,1.862,0,0,0,0
empty_tensor,,,1.331,1.331,0,0,0,0
aten::empty,,,0.412,1.668,0,0,0,0
empty_tensor,,,1.256,1.256,0,0,0,0
aten::empty,,,0.69,1.812,0,0,0,0
empty_tensor,,,1.122,1.122,0,0,0,0
aten::empty,,,0.456,2.015,0,0,0,0
empty_tensor,,,1.559,1.559,0,0,0,0
aclnnAddRmsNormBias,,,2.397,2.397,13.5205,13.5205,0,0
vllm::unquantized_gemm,,,4.59,22.191,0,10.82,0,9.64
aten::linear,,,1.403,17.601,0,10.82,0,9.64
aten::t,,,0.787,5.198,0,0,0,0
aten::transpose,,,2.168,4.411,0,0,0,0
aten::as_strided,,,2.243,2.243,0,0,0,0
aten::addmm,,,5.866,11.0,0,10.82,0,9.64
empty_tensor,,,1.304,1.304,0,0,0,0
aclnnAddmm,,,3.83,3.83,10.82,10.82,9.64,9.64
aten::split_with_sizes,,,1.84,3.505,0,0,0,0
aten::as_strided,,,0.775,0.775,0,0,0,0
aten::as_strided,,,0.525,0.525,0,0,0,0
aten::as_strided,,,0.365,0.365,0,0,0,0
vllm::npu_rotary_embedding,,,336.419,369.718,0,19.200499999999998,0,0
aten::view,,,4.823,4.823,0,0,0,0
aten::view,,,0.328,0.328,0,0,0,0
aten::contiguous,,,1.419,12.555,0,2.92,0,0
aten::clone,,,1.653,11.136,0,2.92,0,0
empty_tensor,,,2.254,2.254,0,0,0,0
aten::copy_,,,4.593,7.229,0,2.92,0,0
aclnnInplaceCopy,,,2.636,2.636,2.92,2.92,0,0
aten::contiguous,,,0.551,9.019,0,2.8,0,0
aten::clone,,,0.781,8.468,0,2.8,0,0
empty_tensor,,,3.161,3.161,0,0,0,0
aten::copy_,,,2.645,4.526,0,2.8,0,0
aclnnInplaceCopy,,,1.881,1.881,2.8,2.8,0,0
_triton_rope,,,4.371,4.371,13.4805,13.4805,0,0
