Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::_local_scalar_dense,,,2.78,2.78,0,0,0,0
aclnnSubs,,,2.661,2.661,1.3,1.3,0,0
aten::detach,,,1.252,1.252,0,0,0,0
aten::to,,,0.867,0.867,0,0,0,0
aten::resolve_conj,,,0.218,0.218,0,0,0,0
aten::resolve_neg,,,0.079,0.079,0,0,0,0
aten::slice,,,1.707,2.946,0,0,0,0
aten::as_strided,,,1.239,1.239,0,0,0,0
aten::slice,,,2.692,3.73,0,0,0,0
aten::as_strided,,,1.038,1.038,0,0,0,0
aten::slice,,,0.552,1.286,0,0,0,0
aten::as_strided,,,0.734,0.734,0,0,0,0
aten::slice,,,1.473,1.922,0,0,0,0
aten::as_strided,,,0.449,0.449,0,0,0,0
aten::fill_,,,4.815,9.44,0,0,0,0
aclnnInplaceFillScalar,,,4.625,4.625,0,0,0,0
aten::slice,,,2.057,2.565,0,0,0,0
aten::as_strided,,,0.508,0.508,0,0,0,0
aten::fill_,,,1.66,3.236,0,0,0,0
aclnnInplaceFillScalar,,,1.576,1.576,0,0,0,0
aten::slice,,,0.547,0.78,0,0,0,0
aten::as_strided,,,0.233,0.233,0,0,0,0
aten::slice,,,0.476,0.786,0,0,0,0
aten::as_strided,,,0.31,0.31,0,0,0,0
aten::lt,,,8.895,8.895,0,0,0,0
aten::lift_fresh,,,0.26,0.26,0,0,0,0
aten::slice,,,1.569,1.875,0,0,0,0
aten::as_strided,,,0.306,0.306,0,0,0,0
aten::fill_,,,1.46,5.572,0,0,0,0
aten::copy_,,,4.112,4.112,0,0,0,0
aten::slice,,,0.6,0.835,0,0,0,0
aten::as_strided,,,0.235,0.235,0,0,0,0
aten::slice,,,0.462,0.995,0,0,0,0
aten::as_strided,,,0.533,0.533,0,0,0,0
aten::slice,,,0.713,2.045,0,0,0,0
aten::as_strided,,,1.332,1.332,0,0,0,0
aten::slice,,,0.449,1.991,0,0,0,0
aten::as_strided,,,1.542,1.542,0,0,0,0
aten::slice,,,0.54,0.665,0,0,0,0
aten::as_strided,,,0.125,0.125,0,0,0,0
aten::slice,,,0.569,1.612,0,0,0,0
aten::as_strided,,,1.043,1.043,0,0,0,0
aten::slice,,,1.149,1.539,0,0,0,0
aten::as_strided,,,0.39,0.39,0,0,0,0
aten::slice,,,0.548,0.808,0,0,0,0
aten::as_strided,,,0.26,0.26,0,0,0,0
aten::slice,,,0.485,0.735,0,0,0,0
aten::as_strided,,,0.25,0.25,0,0,0,0
aten::sub,,,4.288,4.288,0,0,0,0
aten::gt,,,6.77,16.423,0,0,0,0
aten::to,,,1.156,9.653,0,0,0,0
aten::_to_copy,,,3.318,8.497,0,0,0,0
aten::empty_strided,,,2.199,2.199,0,0,0,0
aten::copy_,,,2.98,2.98,0,0,0,0
aten::any,,,4.396,8.643,0,0,0,0
aten::view_as,,,1.472,2.209,0,0,0,0
aten::view,,,0.737,0.737,0,0,0,0
aten::to,,,0.235,0.235,0,0,0,0
aten::copy_,,,1.803,1.803,0,0,0,0
aten::is_nonzero,,,1.653,2.708,0,0,0,0
aten::item,,,0.622,1.055,0,0,0,0
aten::_local_scalar_dense,,,0.433,0.433,0,0,0,0
aten::to,,,0.336,3.279,0,0,0,0
aten::_to_copy,,,0.65,2.943,0,0,0,0
aten::empty_strided,,,0.759,0.759,0,0,0,0
aten::copy_,,,1.534,1.534,0,0,0,0
